,job_description,work_place
0,"
职责：
1.负责微视全部功能数据埋点制定；
2.协助数据分析师进行业务数据洞察；
3.进行数据支撑工作
要求：
1.熟练使用excel；
2.熟练使用SQL进行数据提取及分析；
3.具备ETL优先考虑（熟悉mysql等数据库，熟悉hadoop，hive，熟悉pel、shell脚本。
","
深圳 -
                    南山区 -
                    西丽
                                            - 科技园
                                                            查看地图
"
1,"
        工作职责:
1、日常数据监控，包括但不限于报表、推送、报告等
2、随产品版本跟进埋点、测试数据等
3、跨部门合作，梳理维护数据源，建立适用于产品的数据分析框架
4、通过数据验证业务发展方向，优化现有工作流程

任职资格:
1、熟练掌握SQL
2、熟练使用BI工具（tableau、finereport等）
3、熟悉大数据组件（kafka、spark、hive、zepplin等），有一定编程能力
4、熟悉业务埋点方式、后台&API采集数据方式
5、熟悉互联网产品常用的数据分析方法论（aarrr、a/btest等），具有结构化思维
6、对市场营销、广告投放有一定认识
7、较强的人际沟通能力&工作规划能力

","
上海 -
                    静安区
                                            - 万荣路1268号 市北高新云立方A座11楼
                                                            查看地图
"
2,"
岗位职责：
1、使用SQL、Python软件，根据部门需求，完善分析类报表体系；
2、对接IT部门数据接口，保证每日基础数据准确性，及时更新基础数据关键字段口径；
3、日常监控数据指标，对异常指标进行分析，提供调整意见；
4、优化公司现有Excel统计报表、使用SQL、SAS进行预处理提高效率。
 
岗位要求：
1、本科及以上学历，半年至两年工作经验，数学、统计学、计量经济、金融等相关专业；
2、有MS Excel、SQL、Python等数据分析工具使用经历；
3、有较强的学习能力、数据分析处理及逻辑思维能力；
4、工作细心、责任心强、为人正直，良好的团队沟通和合作能力。
","
深圳 -
                    南山区
                                            - 科华路讯美科技广场2号楼19楼
                                                            查看地图
"
3,"
工作职责：
1、 能熟练使用各软件，对各种数据进行收集和处理，整理成有用的信息供公司领导决策；
2、负责各类数据的整理、汇总和分析处理工作，并编制成报表。及时向上级领导及有关部门上报相关报表；
3、研究数据分析的方法，做到报表制作简单、方便、实用，以保证各类数据分析分析报表的规范和优化；
4、建立部门每日、周、月、季、年度数据分析报表，根据上级需求制作各种专题报告；
5、建立完善的数据库及知识库，为后期数据统计、知识 解答工作提供支持；
6、做好各类数据的保密工作， 严禁向未授权部门及个人提供各类信息数据；
7、协助公司各部门进行分析报告相关信息的收集；
8、根进上级领导交办的其它工作任务；

任职资格：
1、本科以上学历，数学、统计学、数据分析相关专业；
2、2年以上数据处理、报表管理、分析报告相关工作经验。熟练应用excel/ppt等办公软件，了解数据库知识，熟练使用SQL数据库，掌握R语言 、SPSS、eviews、VBA和数据分析工具者优先；
3、对数字有较强的敏锐性，有独立的思维能力和判断力；
4、执行力强，有较强的工作责任心和严谨细致的个人品质，良好的团队协作素质，能胜任高负荷的工作环境；
5、有法学背景、法律行业或政府合作项目相关工作经验优先。
","
广州 -
                    越秀区 -
                    人民北路
                                            - 东风西路191号国际银行中心10楼
                                                            查看地图
"
4,"
1、通过数据分析为公司运营决策、产品方向提供数据支持，结合业务日常看数和分析需求，设计并优化数据报表；
2、与业务团队紧密合作，制定数据监测体系，挖掘业务问题和痛点；
3、通过数据分析，挖掘平台的特性和效率，寻找业务增长的撬动点；
4、通过大数据挖掘用户群体行为和属性特征；

任职条件：
1、一年以上数据分析相关工作；
2、强大的数据操控和管理能力，熟练使用Excel；
3、扎实的数据解读能力，能快速对数据的深层次商业含义做出剖析，做深入的思考和关联；
4、具备良好的商业触觉，以数据为论据和基础，及时发现和分析业务中隐含的商业变化和问题；
","
杭州 -
                    西湖区 -
                    三墩
                                            - 西城博司
                                                            查看地图
"
5,"
职位描述：
1、基于用户的行为数据、购物数据、商品数据挖掘用户相关的静态/动态特征；
2、负责搭建不同场景下的预测模型，如新增设备下单转化预估模型，流失用户召回概率模型；
3、与产品业务部门密切配合寻求数据层面的商业价值，调研分析新业务应用场景；
4、推动模型结果落地到业务场景，持续优化精细化运营，如红包补贴、PUSH、推送等。

岗位要求： 
1、重点大学本科及以上学历，计算机、数学、统计学、物理等相关专业优先；
2、有丰富的统计、预测和建模经验，扎实的机器学习与数据挖掘理论和技术基础，有编程基础，精通熟悉一门编程语言；
3、良好的逻辑思维能力，能够从海量数据中发现有价值的规律。
","
北京 -
                    东城区 -
                    雍和宫
                                            - 东安定门内国子监箭厂胡同22号雍和别墅
                                                            查看地图
"
6,"
工作职责:
 1、应用数据统计，数据挖掘的专业知识和技能，获取数据并对数据做出可以影响实际决策的解读，通过数据理解用户在用户产品中的行为；
2、同项目团队一起去解决实际的问题，获取并了解项⽬的发展趋势和在整个产品中的定位；
3、⽀持，影响和参与到产品的决策和产品的迭代当中；
4、数据分析师会实际参与到如下的工作领域中；
5、产品分析项⽬目：
     □ 参与设定评估团队核心指标并对核心指标做出未来发展的预测；
      □ 监测产品核心指标，能找到核心指标变化的本质原因；
      □ 建设，分析并维护DashBoard和给出数据报告； 
6、探索性分析：
      □ 对于产品和项目的下一阶段目标和roadmap给出基于数据的建议；
      □ 建设核心数据，进行探索性分析，并给出策略建议；
      □ 能对领域内的产品生态，用户行为和长期趋势给出自己的见解；
      □ 不断尝试找到提升核心数据指标的新的抓手；
      □ 建立用户行为分析模型去辅助产品；
 
任职资格:
 
1、重点本科及以上学历，计算机，数学，统计学或者相关的专业；
2、3年左右数据分析工作经验，对于SQL有实际的操作经验；3、对统计学有深⼊理解 (e.g., hypothesis testing, regressions)；
4、附加要求： 拥有计算机，数学，统计学或者相关专业的本科以上学历；
","
上海 -
                    虹口区 -
                    江湾
                                            - 中山北一路121号花园坊A2座3楼
                                                            查看地图
"
7,"
工作职责:1、负责一条业务线或业务模块的数据分析，包括且不限于数据规划、业务沟通、沉淀分析思路与框架，寻找数据驱动业务的最大价值点，形成数据解决方案；2、融入对应业务团队闭环合作，根据对业务的理解，负责对应业务指标体系设计&优化、诊断分析、决策支持、数据化运营等；3、独立完成价值判断、业务规划、prd以及推动项目落地拿到结果；4、整体规划业务的数据分析产品，通过灵活可扩展的数据仪表、可视化的数据看板，用产品及数据能力支撑一线员工进行针对性的数据；任职资格:1、具有良好的理科思维、产品规划、设计与落地能力：3年以上数据分析经验，具有ownership以及高度的责任心和自驱力；2、具备良好的数据敏感度、业务视野、调研分析能力及深度思考能力，能够敏锐的捕获用户需求，提供相匹配的数据交付；3、熟悉数据采集及集成、数据仓库、数据集市，对数据生产流程、数据资产管理以及数据库有深入理解；4、有良好的沟通能力，善于合作、能够跨部门/团队跟合作团队达成一致目标拿到结果；5、有批判性思维，接受不同意见帮助自己和团队共同成长； 6、熟练使用 S Q L 语言等数据分析工具。
","
上海 -
                    徐汇区 -
                    虹梅路
                                            - 田林路200号华鑫天地A5栋3楼
                                                            查看地图
"
8,"
工作职责：
1、负责各种常规统计报表的开发、维护;
2、对接各数据需求方,处理临时性数据分析业务,对外提供数据支持;
3、深入了解各业务环节,运用分析方法,发掘业务中潜在的问题,并提出改进建议;
4、探索并发掘有价值的数据分析项目或方案;
5、运用机器学习算法,搭建模型,挖掘用户、产品方面的有价值信息；
工作要求：
1、全日制本科以上学历,数学、经济学、统计学、计算机等统计相关专业优先,211、985高校优先;
2、3年以上数据分析或数据挖掘经验,且有实际的项目经历;
3、熟悉一种或者几种主流数据库,如Mysql、GreenPlum、Oracle等,精通SQL语言;
4、掌握R、Python、SAS等数据分析语言中的一种或多种,熟悉Tableau等BI工具,精通MS excel;
5、熟悉常用的机器学习算法,如逻辑回归、决策树、神经网络等;
6、思路清晰,逻辑思维能力强,具有优秀的分析能力及审美观。
","
上海 -
                    闵行区 -
                    龙柏
                                            - 合川路3111号近铁虹桥中心3号楼副楼02底3楼
                                                            查看地图
"
9,"
岗位职责：
1.基于业务逻辑，对接业务线需求，建立业务数据模型，为团队提供反映运营状况的数据报表；
2.持续跟踪业务数据，监测业务发展态势，为业务指标异常提供预警、监测和解读；
3.与相关团队协作进行数据建模工作，推动业务部门的数据化运营；
4.结合行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议。

职位要求：
1. 本科及以上学历，1年以上相关工作经验；
2. 有较强的逻辑推理能力，善于从商业角度解读数据；
3. 能够主动学习，及时发现和分析业务中隐含的变化和问题；
4. 善于沟通和交流，有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目。
薪资福利：
1.薪酬：有竞争力的薪酬、丰厚年终奖金、年度调薪；
2.福利：五险一金、带薪年假、十天春节假期、弹性上班时间，周末双休；
3.职位晋升：扁平管理、平台大、晋升快（无司龄限制）；
4.补充福利：免费申请学习公司业务范围之内的所有培训课程、享受员工生日PARTY、节日福利以及定期团建拓展。

办公地址：北京市朝阳区北苑路 北京有色金属研究院嗨学网（K酷时尚广场东北）
行车路线：地铁5号线北苑路北站B2口出 往北直走k酷时尚广场旁  北京有色金属研究所院内
","
北京 -
                    朝阳区 -
                    奥运村
                                            - 北苑路 北京有色金属研究院内嗨学网（K酷时尚广场东北）
                                                            查看地图
"
10,"
岗位职责
1、梳理和维护风控报告，分析风控指标，建立风控指标标准； 2、统筹风控报表需求，编制IT实施需求和推进IT系统实施； 3、制定数据分级分类管理规则； 4、管理风控数据标准，推进数据标准的系统化实现； 5、定期出具和分析风控报告，为风控策略制定提供数据支持，对风险进行提示；
任职要求
1、对数据敏感，非常突出的数据分析、沟通解决问题的能力； 
2、3年以上金融机构运营报表、风控报告分析、编制经验； 3、熟练使用sql、excel、ppt, 掌握一门编程语言R\Python者优先考虑； 
4、本科以上学历，统计、经济学等相关专业
","
北京 -
                    朝阳区 -
                    望京
                                            - 望京绿地中心中国锦30层
                                                            查看地图
"
11,"
职位描述：
1、 负责数据整理、挖掘及分析工作，定期出具数据报告及分析报告；
2、 能对多种数据源的进行深度诊断性组合分析、挖掘、深度分析和建模；
3、 为公司运营决策、产品方向、策略提供数据支持；
4、针对具体的业务事件，研究业务开拓中的局限性或亮点，进行数据分析并提出优化方案或提炼可复制的模板。
任职要求：
1、本科及以上学历，有统计学、经济学、社会学、数学，计算机等相关专业；
2、良好的数据敏感度,能从海量数据提炼核心结果；具有较强逻辑思维能力和优秀的分析能力和数据挖掘能力；熟练独立编写商业数据分析报；
3、 熟练使用至少一种统计软件和统计工具，如SPSS、SAS、GoogleAnalyticss、Omniture；
4、 了解和熟悉至少一种数据库软件，如：oracle、mysql、sqlserver等；
5、 为人诚信正直，高度的责任心，良好的沟通和协调能力，能承受较强的工作压力，积极主动。
","
北京 -
                    朝阳区 -
                    小关
                                            - 天圆祥泰大厦
                                                            查看地图
"
12,"
1、负责BI平台搭建2、构建全面的、准确的、反映业务特征的数据指标体系, 及时发现与定位业务问题 3、负责数据报表设计、需求定义、界面原型制作4、建立用户画像、用户生命周期体系，挖掘运营规律，为业务及管理层提供决策支持5、负责数据相关项目和工作的推进，并负责积极协调相关部门，及时跟进项目实施6、对数据保持敏感，负责日常数据系统运营，系统本身数据问题诊断及协调数据开发改进任职资格：1、熟练掌握sql，2年以上数据分析/挖掘相关工作经验，熟悉互联网数据分析，有大数据仓库建设项目经验2、数据敏感度及逻辑能力强，有清晰的思路和数据建模方法论3、具备较强的规划和统筹能力，有较强的执行能力4、灵活运用tableau/spss/IBM modeler等数据分析工具者优先5、计算机/数理统计专业背景优先6、熟悉零售规律分析者优先
","
深圳 -
                    南山区 -
                    华侨城
                                            - 锦绣北街金众工业园201栋501
                                                            查看地图
"
13,"
【工作职责】
负责美的智能产品数据挖掘分析，驱动产品智能及用户体验提升，主要包括：
1、通过数据洞察发现问题及分析场景，撰写分析报告及建议解决方案，推动业务变革；
2、使用常用的数据分析及挖掘算法模型，按需求建立模型，为业务提供决策支持；
3、面向用户、事业部及业务部门发布数据报告及数据小品；
4、参与数据产品及数据可视化建设；
5、挖掘智能用户、设备数据，制定标签为营销企划提供数据支撑；
【岗位要求】
1、统招本科及以上学历，3年以上工作经验，2年以上数据分析或数据挖掘经验；
2、熟悉常用的数理统计理论、数据分析方法及挖掘算法；
2、掌握R、Python、SPSS等至少一钟分析挖掘工具；
2、熟练使用办公软件，有较强的报告撰写能力及一定的汇报能力；
4、数据大数据体系基本架构，能够使用SQL查询取数""

【加分项】
1、有机器学习、深度学习实践经验；
2、有用户标签应用产品经验；
","
广州 -
                    番禺区
                                            - 美的总部
                                                            查看地图
"
14,"
工作职责：
1.协助揭阳移动分公司现场代维提数项目；
2.主要从事数据提取工作，工作内容包括与客户沟通数据需求，根据需求方所提供的的工单，明确具体口径，从数据集市提取相对应的数据，解决广东移动各分公司各部门的数据需求问题，为广东移动各分公司及各服务商提供数据支持。

职位要求：
1.本科以上计算机、电子通讯、数学、统计等相关专业毕业；
2.熟悉Oracle,DB2,Teredata等其中之一的大型数据库；
3.有电信行业大型项目经验优先；
4.有移动业务经营分析经验者优先；
5.具备较好的团队协作能力和及沟通能力；
6.考虑在揭阳工作，揭阳本地人最佳。

职位诱惑：
1.周末双休；
2.五险一金；
3.重大节日礼品、团建活动等；
4.带薪年假、带薪病假、年度调薪、年终奖等。

上班地址：揭阳市榕城区建阳路金叶花园
上班时间：周一至周五8:30-17:30（12:00-14:00吃饭休息）
","
揭阳 -
                    榕城区
                                            - 二号路全球通大厦（揭阳移动）
                                                            查看地图
"
